distance_km,empreinte_train_kg,empreinte_avion_kg,ratio_co2,operateur,pays_operateur,trajet_id,gare_depart,gare_arrivee,heure_depart,heure_arrivee,type_service
673.0,12.787,106.334,0.1203,VR-Yhtymä Oy,FI,JOUR_VR_6671,Oulu,Helsinki,1899-12-30T13:25:00.000Z,1899-12-30T19:00:00.000Z,JOUR
754.0,9.4,119.132,0.0789,Укрзалізниця,UA,UZ 052 Š/054,Odesa Holovna,Dnipro Holovny,1899-12-30T21:10:00.000Z,1899-12-30T11:03:00.000Z,NUIT
856.0,27.1,135.248,0.2004,PKP Intercity S.A.,PL,PKP/ČD EC 460,Praha hl.n.,Gdynia Gł.,1899-12-30T18:51:00.000Z,1899-12-30T05:20:00.000Z,NUIT
491.0,15.512,77.578,0.2,RegioJet a.s.,CZ,JOUR_RJ_7730,Praha Hlavni,Viden Hlavni,1899-12-30T09:00:00.000Z,1899-12-30T13:35:00.000Z,JOUR
540.0,11.6,85.32,0.136,Укрзалізниця,UA,UZ 023,Kyiv Pasazhyrskyi,Chelm,1899-12-30T22:40:00.000Z,1899-12-30T11:05:00.000Z,NUIT
424.0,11.6,66.992,0.1732,HŽ Putnički prijevoz d.o.o.,HR,HŽPP 1820,Split,Zagreb Gl. K.,1899-12-30T21:11:00.000Z,1899-12-30T05:49:00.000Z,NUIT
839.0,15.102,132.622,0.1139,First Greater Western Ltd.,GB,JOUR_GWR_117,London Paddington,Edinburgh Waverley,1899-12-30T07:30:00.000Z,1899-12-30T14:22:00.000Z,JOUR
820.0,16.5,129.56,0.1274,Trenitalia S.p.A,IT,FS IC Notte 1956,Siracusa,Roma Termini,1899-12-30T19:10:00.000Z,1899-12-30T07:18:00.000Z,NUIT
1261.0,28.7,199.238,0.144,TCDD Taşımacılık A.Ş.,TR,TCDD 52011,Tatvan,Ankara,1899-12-30T10:30:00.000Z,1899-12-30T11:56:00.000Z,NUIT
513.0,2.565,81.054,0.0316,SNCF Voyageurs SA,FR,JOUR_SNCF_9882,Paris Gare de Lyon,Marseille Saint-Charles,1899-12-30T07:03:00.000Z,1899-12-30T10:05:00.000Z,JOUR
799.0,17.7,126.242,0.1402,TCDD Taşımacılık A.Ş.,TR,TCDD/BDŽ/CFR 12503/460,İstanbul Halkalı,București Nord,1899-12-30T20:00:00.000Z,1899-12-30T17:08:00.000Z,NUIT
1147.0,23.0,181.226,0.1269,Trenitalia S.p.A,IT,FS IC Notte 754,Lecce,Torino Lingotto,1899-12-30T20:25:00.000Z,1899-12-30T09:15:00.000Z,NUIT
